File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,set_banner(apr_pool_t *pconf),25,20,14,2,1,0,4,16,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_serv_tokens(cmd_parms *cmd, void *dummy, const char *arg)",27,24,17,4,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_limit_req_line(cmd_parms *cmd, void *dummy, const char *arg)",17,14,10,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_limit_req_fieldsize(cmd_parms *cmd, void *dummy, const char *arg)",18,15,10,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_limit_req_fields(cmd_parms *cmd, void *dummy, const char *arg)",18,15,10,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_limit_req_body(cmd_parms *cmd, void *conf_, const char *arg)",17,14,11,7,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_limit_xml_req_body(cmd_parms *cmd, void *conf_, const char *arg)",13,10,8,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,ap_get_limit_xml_body(const request_rec *r),8,6,5,3,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"no_set_limit(cmd_parms *cmd, void *conf_, const char *arg, const char *arg2)",5,4,3,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_limit_cpu(cmd_parms *cmd, void *conf_, const char *arg, const char *arg2)",5,4,4,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_limit_mem(cmd_parms *cmd, void *conf_, const char *arg, const char * arg2)",12,10,6,1,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_limit_nproc(cmd_parms *cmd, void *conf_, const char *arg, const char * arg2)",5,4,4,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_recursion_limit(cmd_parms *cmd, void *dummy, const char *arg1, const char *arg2)",32,26,16,8,6,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,log_backtrace(const request_rec *r),21,18,10,3,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,ap_is_recursion_limit_exceeded(const request_rec *r),57,40,20,10,10,0,7,24,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"add_ct_output_filters(cmd_parms *cmd, void *conf_, const char *arg, const char *arg2)",42,35,23,8,5,0,2,12,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,ap_add_output_filters_by_type(request_rec *r),27,19,14,3,4,0,4,21,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_trace_enable(cmd_parms *cmd, void *dummy, const char *arg1)",18,16,11,3,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,ap_core_translate(request_rec *r),65,48,26,16,3,0,14,81,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,core_map_to_storage(request_rec *r),12,9,7,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,do_nothing(request_rec *r),1,1,1,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,core_override_type(request_rec *r),29,13,7,5,4,0,12,119,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,default_handler(request_rec *r),170,122,75,32,18,2,30,270,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"core_post_config(apr_pool_t *pconf, apr_pool_t *plog, apr_pool_t *ptemp, server_rec *s)",7,6,6,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,core_insert_filter(request_rec *r),18,16,10,4,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,reset_request_notes(void *dummy),3,3,3,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,ap_register_request_note(void),4,4,3,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"ap_get_request_note(request_rec *r, apr_size_t note_num)",15,11,8,5,4,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,core_create_req(request_rec *r),25,16,12,2,5,0,4,27,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"core_create_proxy_req(request_rec *r, request_rec *pr)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"core_create_conn(apr_pool_t *ptrans, server_rec *server, apr_socket_t *csd, long id, void *sbh, apr_bucket_alloc_t *alloc)",38,28,22,5,7,0,3,19,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"core_pre_connection(conn_rec *c, void *csd)",44,23,17,3,4,0,17,135,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,register_hooks(apr_pool_t *p),46,34,21,0,3,0,9,57,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core_filters.c,"brigade_move(apr_bucket_brigade *b, apr_bucket_brigade *a, apr_bucket *e)",11,9,8,1,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core_filters.c,"ap_core_input_filter(ap_filter_t *f, apr_bucket_brigade *b, ap_input_mode_t mode, apr_read_type_e block, apr_off_t readbytes)",202,109,81,35,26,0,67,644,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core_filters.c,"writev_it_all(apr_socket_t *s, struct iovec *vec, int nvec, apr_size_t len, apr_size_t *nbytes)",39,27,21,7,6,0,6,39,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core_filters.c,"sendfile_it_all(core_net_rec *c, apr_file_t *fd, apr_hdtr_t *hdtr, apr_off_t file_offset, apr_size_t file_bytes_left, apr_size_t total_bytes_left, apr_size_t *bytes_sent, apr_int32_t flags)",75,56,43,8,13,2,6,50,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core_filters.c,"emulate_sendfile(core_net_rec *c, apr_file_t *fd, apr_hdtr_t *hdtr, apr_off_t offset, apr_size_t length, apr_size_t *nbytes)",64,46,36,9,7,6,11,109,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core_filters.c,"ap_core_output_filter(ap_filter_t *f, apr_bucket_brigade *b)",390,250,177,50,46,10,94,687,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\eoc_bucket.c,"eoc_bucket_read(apr_bucket *b, const char **str, apr_size_t *len, apr_read_type_e block)",4,4,4,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\eoc_bucket.c,ap_bucket_eoc_make(apr_bucket *b),7,6,6,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\eoc_bucket.c,ap_bucket_eoc_create(apr_bucket_alloc_t *list),7,6,6,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\error_bucket.c,"error_bucket_read(apr_bucket *b, const char **str, apr_size_t *len, apr_read_type_e block)",4,4,4,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\error_bucket.c,error_bucket_destroy(void *data),6,5,4,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\error_bucket.c,"ap_bucket_error_make(apr_bucket *b, int error, const char *buf, apr_pool_t *p)",10,8,8,1,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\error_bucket.c,"ap_bucket_error_create(int error, const char *buf, apr_pool_t *p, apr_bucket_alloc_t *list)",7,6,6,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\gen_test_char.c,"main(int argc, char *argv[])",83,52,24,11,11,0,20,145,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\listen.c,"make_sock(apr_pool_t *p, ap_listen_rec *server)",138,96,49,18,11,0,31,235,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\listen.c,"find_accf_name(server_rec *s, const char *proto)",15,12,9,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\listen.c,"ap_apply_accept_filter(apr_pool_t *p, ap_listen_rec *lis, server_rec *server)",34,29,16,4,5,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\listen.c,close_listeners_on_exec(void *v),3,3,3,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\listen.c,"alloc_listener(process_rec *process, char *addr, apr_port_t port, const char* proto)",94,69,47,14,13,0,12,96,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\listen.c,open_listeners(apr_pool_t *pool),151,96,59,26,12,2,43,350,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\listen.c,ap_setup_listeners(server_rec *s),56,46,32,15,6,0,4,23,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\listen.c,ap_close_listeners(void),7,6,5,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\listen.c,ap_listen_pre_config(void),4,4,4,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\listen.c,"ap_set_listener(cmd_parms *cmd, void *dummy, int argc, char *const argv[])",41,32,24,13,8,0,1,11,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\listen.c,"ap_set_listenbacklog(cmd_parms *cmd, void *dummy, const char *arg)",15,12,10,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\listen.c,"ap_set_send_buffer_size(cmd_parms *cmd, void *dummy, const char *arg)",14,11,9,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\listen.c,"ap_set_receive_buffer_size(cmd_parms *cmd, void *dummy, const char *arg)",14,11,9,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,clear_handle_list(void *v),3,3,3,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"close_handle_in_child(apr_pool_t *p, apr_file_t *f)",7,6,6,0,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"ap_logs_child_init(apr_pool_t *p, server_rec *s)",7,6,5,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,ap_open_stderr_log(apr_pool_t *p),2,2,2,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"ap_replace_stderr_log(apr_pool_t *p, const char *fname)",50,36,20,10,1,0,13,95,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"log_child_errfn(apr_pool_t *pool, apr_status_t err, const char *description)",3,3,2,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"log_child(apr_pool_t *p, const char *progname, apr_file_t **fpin, int dummy_stderr)",45,32,18,9,6,0,7,47,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"open_error_log(server_rec *s, int is_main, apr_pool_t *p)",62,51,31,12,7,0,4,42,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"ap_open_logs(apr_pool_t *pconf, apr_pool_t *p , apr_pool_t *ptemp, server_rec *s_main)",85,53,35,16,8,0,24,174,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,ap_error_log2stderr(server_rec *s),7,6,5,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"log_error_core(const char *file, int line, int level, apr_status_t status, const server_rec *s, const conn_rec *c, const request_rec *r, apr_pool_t *pool, const char *fmt, va_list args)",193,147,81,25,14,4,32,217,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"ap_log_error(const char *file, int line, int level, apr_status_t status, const server_rec *s, const char *fmt, ...)",6,5,5,0,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"ap_log_perror(const char *file, int line, int level, apr_status_t status, apr_pool_t *p, const char *fmt, ...)",6,5,5,0,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"ap_log_rerror(const char *file, int line, int level, apr_status_t status, const request_rec *r, const char *fmt, ...)",24,15,9,3,2,0,7,41,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"ap_log_cerror(const char *file, int line, int level, apr_status_t status, const conn_rec *c, const char *fmt, ...)",7,6,5,0,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"ap_log_pid(apr_pool_t *p, const char *filename)",49,38,23,5,4,0,7,51,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"ap_read_pid(apr_pool_t *p, const char *filename, pid_t *mypid)",42,32,26,11,8,1,2,29,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"ap_log_assert(const char *szExp, const char *szFile, int nLine)",13,11,6,0,1,0,1,11,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,piped_log_spawn(piped_log *pl),52,43,24,3,4,0,5,40,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"piped_log_maintenance(int reason, void *data, apr_wait_t status)",49,39,24,8,4,1,6,64,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,piped_log_cleanup_for_exec(void *data),6,5,5,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,piped_log_cleanup(void *data),7,6,5,2,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"ap_open_piped_log(apr_pool_t *p, const char *program)",20,19,15,5,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,piped_log_cleanup(void *data),5,4,4,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,"ap_open_piped_log(apr_pool_t *p, const char *program)",19,16,14,3,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\log.c,ap_close_piped_log(piped_log *pl),2,2,2,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\main.c,show_mpm_settings(void),37,30,22,4,7,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\main.c,show_compile_settings(void),164,123,47,0,36,0,5,33,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\main.c,"destroy_and_exit_process(process_rec *process, int process_exit_value)",4,4,4,0,0,1,0,6,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\main.c,"init_process(int *argc, const char * const * *argv)",43,29,25,3,6,0,8,51,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\main.c,usage(process_rec *process),123,113,44,1,10,1,0,2,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\main.c,"main(int argc, const char * const argv[])",302,236,173,39,50,5,16,153,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\main.c,suck_in_APR(void),4,3,3,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,ap_register_extra_mpm_process(pid_t pid),6,5,5,0,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,ap_unregister_extra_mpm_process(pid_t pid),23,20,15,5,2,1,1,10,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"reclaim_one_pid(pid_t pid, action_t action)",66,46,21,10,7,0,13,102,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,ap_reclaim_child_processes(int terminate),86,63,52,7,9,5,14,109,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,ap_relieve_child_processes(void),29,22,17,5,6,1,1,14,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_mpm_safe_kill(pid_t pid, int sig)",53,40,25,12,6,0,7,44,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_wait_or_timeout(apr_exit_why_e *status, int *exitcode, apr_proc_t *ret, apr_pool_t *p)",28,23,17,4,5,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_process_child_status(apr_proc_t *pid, apr_exit_why_e why, int status)",55,42,18,11,5,0,8,55,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,ap_sock_disable_nagle(apr_socket_t *s),16,6,4,1,1,0,9,76,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,ap_uname2id(const char *name),13,10,7,4,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,ap_gname2id(const char *name),13,10,7,4,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"initgroups(const char *name, gid_t basegid)",28,21,14,6,6,2,1,18,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_mpm_pod_open(apr_pool_t *p, ap_pod_t **pod)",17,12,11,3,4,0,1,5,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,ap_mpm_pod_check(ap_pod_t *pod),16,12,10,5,4,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,ap_mpm_pod_close(ap_pod_t *pod),14,11,9,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,pod_signal_internal(ap_pod_t *pod),12,10,8,2,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,dummy_connection(ap_pod_t *pod),75,43,32,9,9,0,23,183,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,ap_mpm_pod_signal(ap_pod_t *pod),9,7,6,3,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_mpm_pod_killpg(ap_pod_t *pod, int num)",20,6,5,1,1,0,13,116,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_mpm_set_pidfile(cmd_parms *cmd, void *dummy, const char *arg)",12,10,8,5,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_mpm_set_scoreboard(cmd_parms *cmd, void *dummy, const char *arg)",8,7,6,3,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_mpm_set_lockfile(cmd_parms *cmd, void *dummy, const char *arg)",8,7,6,3,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_mpm_set_max_requests(cmd_parms *cmd, void *dummy, const char *arg)",9,7,6,3,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_mpm_set_coredumpdir(cmd_parms *cmd, void *dummy, const char *arg)",25,24,17,9,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_mpm_set_graceful_shutdown(cmd_parms *cmd, void *dummy, const char *arg)",7,7,6,3,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_mpm_set_accept_lock_mech(cmd_parms *cmd, void *dummy, const char *arg)",45,38,19,5,2,0,5,43,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"send_signal(pid_t pid, int sig)",7,7,5,3,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_signal_server(int *exit_status, apr_pool_t *pconf)",88,80,52,20,8,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,ap_mpm_rewrite_args(process_rec *process),54,47,31,9,5,0,2,19,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_mpm_set_max_mem_free(cmd_parms *cmd, void *dummy, const char *arg)",15,12,9,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_mpm_set_thread_stacksize(cmd_parms *cmd, void *dummy, const char *arg)",15,12,9,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_mpm_set_exception_hook(cmd_parms *cmd, void *dummy, const char *arg)",21,18,13,7,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,run_fatal_exception_hook(int sig),10,9,7,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,sig_coredump(int sig),32,13,7,1,0,0,19,171,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,ap_fatal_signal_child_setup(server_rec *s),3,3,3,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\mpm_common.c,"ap_fatal_signal_setup(server_rec *s, apr_pool_t *in_pconf)",63,55,22,7,8,7,0,14,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,ap_setup_make_content_type(apr_pool_t *pool),12,12,9,2,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"AP_DECLARE(const char *)ap_make_content_type(request_rec *r, const char *type)",49,38,28,10,6,0,5,37,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_set_content_length(request_rec *r, apr_off_t clength)",4,4,3,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_rationalize_mtime(request_rec *r, apr_time_t mtime)",14,4,4,1,1,0,9,98,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_rgetline_core(char **s, apr_size_t n, apr_size_t *read, request_rec *r, int fold, apr_bucket_brigade *bb)",226,145,109,42,33,1,48,371,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_rgetline(char **s, apr_size_t n, apr_size_t *read, request_rec *r, int fold, apr_bucket_brigade *bb)",16,7,6,2,1,0,8,65,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_getline(char *s, int n, request_rec *r, int fold)",21,15,13,5,4,0,2,15,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_parse_uri(request_rec *r, const char *uri)",58,37,24,6,6,2,15,100,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"read_request_line(request_rec *r, apr_bucket_brigade *bb)",112,66,47,13,18,2,28,271,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_get_mime_headers_core(request_rec *r, apr_bucket_brigade *bb)",156,106,64,19,20,9,30,257,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,ap_get_mime_headers(request_rec *r),5,5,5,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,ap_read_request(conn_rec *conn),204,132,104,25,28,3,44,340,
